Problem;Package;File;Priority;Line;Description;Rule set;Rule
1;main;src/main/Cities.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
2;main;src/main/Cities.java;3;4;AvoidFieldNameMatchingTypeName: It is somewhat confusing to have a field name matching the declaring class name;Error Prone;AvoidFieldNameMatchingTypeName
3;main;src/main/Cities.java;3;4;CommentRequired: Field comments are required;Documentation;CommentRequired
4;main;src/main/Cities.java;3;4;"ImmutableField: Private field 'cities' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
5;main;src/main/Cities.java;3;6;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
6;main;src/main/Cities.java;3;10;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
7;main;src/main/Cities.java;3;10;MethodArgumentCouldBeFinal: Parameter 'index' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
8;main;src/main/Cities.java;3;14;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
9;main;src/main/Cities.java;1;14;MethodNamingConventions: The instance method name 'ToString' doesn't match '[a-z][a-zA-Z0-9]*';Code Style;MethodNamingConventions
10;main;src/main/Cities.java;3;17;LocalVariableCouldBeFinal: Local variable 'index' could be declared final;Code Style;LocalVariableCouldBeFinal
11;main;src/main/Cities.java;3;18;UseStringBufferForStringAppends: Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings;Performance;UseStringBufferForStringAppends
12;main;src/main/City.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
13;main;src/main/City.java;3;3;DataClass: The class 'City' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=7);Design;DataClass
14;main;src/main/City.java;4;3;ShortClassName: Avoid short class names like City;Code Style;ShortClassName
15;main;src/main/City.java;3;4;CommentRequired: Field comments are required;Documentation;CommentRequired
16;main;src/main/City.java;3;5;CommentRequired: Field comments are required;Documentation;CommentRequired
17;main;src/main/City.java;3;6;CommentRequired: Field comments are required;Documentation;CommentRequired
18;main;src/main/City.java;3;7;CommentRequired: Field comments are required;Documentation;CommentRequired
19;main;src/main/City.java;3;7;LongVariable: Avoid excessively long variable names like weatherDescription;Code Style;LongVariable
20;main;src/main/City.java;3;9;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
21;main;src/main/City.java;3;9;UncommentedEmptyConstructor: Document empty constructor;Documentation;UncommentedEmptyConstructor
22;main;src/main/City.java;3;12;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
23;main;src/main/City.java;3;12;LongVariable: Avoid excessively long variable names like weatherDescription;Code Style;LongVariable
24;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'feelsLike' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
25;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'name' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
26;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'temperature' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
27;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'weatherDescription' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
28;main;src/main/City.java;3;35;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
29;main;src/main/City.java;1;35;MethodNamingConventions: The instance method name 'ToString' doesn't match '[a-z][a-zA-Z0-9]*';Code Style;MethodNamingConventions
30;main;src/main/City.java;3;36;LocalVariableCouldBeFinal: Local variable 'string' could be declared final;Code Style;LocalVariableCouldBeFinal
31;main;src/main/City.java;3;36;"StringToString: Avoid calling toString() on String objects; this is unnecessary.";Performance;StringToString
32;main;src/main/City.java;3;38;UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'string';Code Style;UnnecessaryLocalBeforeReturn
33;main;src/main/MeteoDataCenter.java;3;9;AtLeastOneConstructor: Each class should declare at least one constructor;Code Style;AtLeastOneConstructor
34;main;src/main/MeteoDataCenter.java;3;9;CommentRequired: Class comments are required;Documentation;CommentRequired
35;main;src/main/MeteoDataCenter.java;3;11;CommentRequired: Field comments are required;Documentation;CommentRequired
36;main;src/main/MeteoDataCenter.java;3;11;"ImmutableField: Private field 'key' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
37;main;src/main/MeteoDataCenter.java;3;12;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
38;main;src/main/MeteoDataCenter.java;3;12;MethodArgumentCouldBeFinal: Parameter 'cityName' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
39;main;src/main/MeteoDataCenter.java;5;13;DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'city' (lines '13'-'44').;Error Prone;DataflowAnomalyAnalysis
40;main;src/main/MeteoDataCenter.java;5;13;DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'city' (lines '13'-'51').;Error Prone;DataflowAnomalyAnalysis
41;main;src/main/MeteoDataCenter.java;3;15;LocalVariableCouldBeFinal: Local variable 'url' could be declared final;Code Style;LocalVariableCouldBeFinal
42;main;src/main/MeteoDataCenter.java;3;18;LocalVariableCouldBeFinal: Local variable 'conn' could be declared final;Code Style;LocalVariableCouldBeFinal
43;main;src/main/MeteoDataCenter.java;3;19;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
44;main;src/main/MeteoDataCenter.java;3;20;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
45;main;src/main/MeteoDataCenter.java;3;22;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
46;main;src/main/MeteoDataCenter.java;3;22;LocalVariableCouldBeFinal: Local variable 'responseCode' could be declared final;Code Style;LocalVariableCouldBeFinal
47;main;src/main/MeteoDataCenter.java;3;24;AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements;Error Prone;AvoidLiteralsInIfCondition
48;main;src/main/MeteoDataCenter.java;3;24;"ConfusingTernary: Avoid if (x != y) ..; else ..;";Code Style;ConfusingTernary
49;main;src/main/MeteoDataCenter.java;1;25;AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.;Design;AvoidThrowingRawExceptionTypes
50;main;src/main/MeteoDataCenter.java;3;28;LocalVariableCouldBeFinal: Local variable 'informationString' could be declared final;Code Style;LocalVariableCouldBeFinal
51;main;src/main/MeteoDataCenter.java;3;29;CloseResource: Ensure that resources like this Scanner object are closed after use;Error Prone;CloseResource
52;main;src/main/MeteoDataCenter.java;3;29;LocalVariableCouldBeFinal: Local variable 'scanner' could be declared final;Code Style;LocalVariableCouldBeFinal
53;main;src/main/MeteoDataCenter.java;3;37;LocalVariableCouldBeFinal: Local variable 'parser' could be declared final;Code Style;LocalVariableCouldBeFinal
54;main;src/main/MeteoDataCenter.java;3;38;LocalVariableCouldBeFinal: Local variable 'object' could be declared final;Code Style;LocalVariableCouldBeFinal
55;main;src/main/MeteoDataCenter.java;3;39;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
56;main;src/main/MeteoDataCenter.java;3;40;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
57;main;src/main/MeteoDataCenter.java;3;40;LocalVariableCouldBeFinal: Local variable 'weather' could be declared final;Code Style;LocalVariableCouldBeFinal
58;main;src/main/MeteoDataCenter.java;3;41;LawOfDemeter: Potential violation of Law of Demeter (method chain calls);Design;LawOfDemeter
59;main;src/main/MeteoDataCenter.java;3;41;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
60;main;src/main/MeteoDataCenter.java;3;41;LocalVariableCouldBeFinal: Local variable 'temperature' could be declared final;Code Style;LocalVariableCouldBeFinal
61;main;src/main/MeteoDataCenter.java;3;42;LawOfDemeter: Potential violation of Law of Demeter (method chain calls);Design;LawOfDemeter
62;main;src/main/MeteoDataCenter.java;3;42;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
63;main;src/main/MeteoDataCenter.java;3;42;LocalVariableCouldBeFinal: Local variable 'feelsLike' could be declared final;Code Style;LocalVariableCouldBeFinal
64;main;src/main/MeteoDataCenter.java;3;43;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
65;main;src/main/MeteoDataCenter.java;3;43;LocalVariableCouldBeFinal: Local variable 'weatherDescription' could be declared final;Code Style;LocalVariableCouldBeFinal
66;main;src/main/MeteoDataCenter.java;3;43;LongVariable: Avoid excessively long variable names like weatherDescription;Code Style;LongVariable
67;main;src/main/MeteoDataCenter.java;3;47;AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block;Design;AvoidCatchingGenericException
68;main;src/main/MeteoDataCenter.java;3;48;"AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.";Best Practices;AvoidPrintStackTrace
69;main;src/main/NavigationController.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
70;main;src/main/NavigationController.java;3;5;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
71;main;src/main/NavigationController.java;3;5;MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
72;main;src/main/NavigationController.java;3;6;LocalVariableCouldBeFinal: Local variable 'navigationController' could be declared final;Code Style;LocalVariableCouldBeFinal
73;main;src/main/NavigationController.java;3;6;LongVariable: Avoid excessively long variable names like navigationController;Code Style;LongVariable
74;main;src/main/NavigationController.java;3;10;CommentRequired: Field comments are required;Documentation;CommentRequired
75;main;src/main/NavigationController.java;3;10;"ImmutableField: Private field 'actions' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
76;main;src/main/NavigationController.java;3;10;UseShortArrayInitializer: Array initialization can be written shorter;Code Style;UseShortArrayInitializer
77;main;src/main/NavigationController.java;3;11;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
78;main;src/main/NavigationController.java;3;11;MissingOverride: The method 'execute()' is missing an @Override annotation.;Best Practices;MissingOverride
79;main;src/main/NavigationController.java;3;12;AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes;Best Practices;AccessorMethodGeneration
80;main;src/main/NavigationController.java;3;15;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
81;main;src/main/NavigationController.java;3;15;MissingOverride: The method 'execute()' is missing an @Override annotation.;Best Practices;MissingOverride
82;main;src/main/NavigationController.java;3;16;AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes;Best Practices;AccessorMethodGeneration
83;main;src/main/NavigationController.java;3;19;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
84;main;src/main/NavigationController.java;3;19;MissingOverride: The method 'execute()' is missing an @Override annotation.;Best Practices;MissingOverride
85;main;src/main/NavigationController.java;3;20;AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes;Best Practices;AccessorMethodGeneration
86;main;src/main/NavigationController.java;3;23;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
87;main;src/main/NavigationController.java;3;23;MissingOverride: The method 'execute()' is missing an @Override annotation.;Best Practices;MissingOverride
88;main;src/main/NavigationController.java;3;24;AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes;Best Practices;AccessorMethodGeneration
89;main;src/main/NavigationController.java;3;27;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
90;main;src/main/NavigationController.java;3;27;MissingOverride: The method 'execute()' is missing an @Override annotation.;Best Practices;MissingOverride
91;main;src/main/NavigationController.java;3;28;AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes;Best Practices;AccessorMethodGeneration
92;main;src/main/NavigationController.java;3;32;CommentRequired: Field comments are required;Documentation;CommentRequired
93;main;src/main/NavigationController.java;3;32;FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.;Code Style;FieldDeclarationsShouldBeAtStartOfClass
94;main;src/main/NavigationController.java;3;32;"ImmutableField: Private field 'userDatabase' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
95;main;src/main/NavigationController.java;3;33;CommentRequired: Field comments are required;Documentation;CommentRequired
96;main;src/main/NavigationController.java;3;33;FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.;Code Style;FieldDeclarationsShouldBeAtStartOfClass
97;main;src/main/NavigationController.java;3;34;CommentRequired: Field comments are required;Documentation;CommentRequired
98;main;src/main/NavigationController.java;3;34;FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.;Code Style;FieldDeclarationsShouldBeAtStartOfClass
99;main;src/main/NavigationController.java;3;34;"ImmutableField: Private field 'uiComponent' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
100;main;src/main/NavigationController.java;3;35;CommentRequired: Field comments are required;Documentation;CommentRequired
101;main;src/main/NavigationController.java;3;35;FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.;Code Style;FieldDeclarationsShouldBeAtStartOfClass
102;main;src/main/NavigationController.java;3;35;"ImmutableField: Private field 'meteoDataCenter' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
103;main;src/main/NavigationController.java;3;37;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
104;main;src/main/NavigationController.java;3;43;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
105;main;src/main/NavigationController.java;3;45;LocalVariableCouldBeFinal: Local variable 'navigationAnswer' could be declared final;Code Style;LocalVariableCouldBeFinal
106;main;src/main/NavigationController.java;3;51;LocalVariableCouldBeFinal: Local variable 'navigationAnswer' could be declared final;Code Style;LocalVariableCouldBeFinal
107;main;src/main/NavigationController.java;3;73;LocalVariableCouldBeFinal: Local variable 'cityPicked' could be declared final;Code Style;LocalVariableCouldBeFinal
108;main;src/main/NavigationController.java;3;74;LocalVariableCouldBeFinal: Local variable 'city' could be declared final;Code Style;LocalVariableCouldBeFinal
109;main;src/main/NavigationController.java;3;81;AvoidCallingFinalize: Avoid calling finalize() explicitly;Error Prone;AvoidCallingFinalize
110;main;src/main/NavigationController.java;3;82;DoNotTerminateVM: System.exit() should not be used in J2EE/JEE apps;Error Prone;DoNotTerminateVM
111;main;src/main/NavigationController.java;3;85;CommentRequired: Class comments are required;Documentation;CommentRequired
112;main;src/main/NavigationController.java;3;86;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
113;main;src/main/UIComponent.java;3;5;CommentRequired: Class comments are required;Documentation;CommentRequired
114;main;src/main/UIComponent.java;3;5;TooManyMethods: This class has too many methods, consider refactoring it.;Design;TooManyMethods
115;main;src/main/UIComponent.java;3;6;CommentRequired: Field comments are required;Documentation;CommentRequired
116;main;src/main/UIComponent.java;3;6;"ImmutableField: Private field 'scanner' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
117;main;src/main/UIComponent.java;3;7;CommentRequired: Field comments are required;Documentation;CommentRequired
118;main;src/main/UIComponent.java;3;7;"ImmutableField: Private field 'cities' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
119;main;src/main/UIComponent.java;3;9;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
120;main;src/main/UIComponent.java;3;14;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
121;main;src/main/UIComponent.java;2;15;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
122;main;src/main/UIComponent.java;3;18;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
123;main;src/main/UIComponent.java;2;19;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
124;main;src/main/UIComponent.java;3;22;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
125;main;src/main/UIComponent.java;2;23;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
126;main;src/main/UIComponent.java;3;26;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
127;main;src/main/UIComponent.java;2;27;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
128;main;src/main/UIComponent.java;3;30;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
129;main;src/main/UIComponent.java;3;30;MethodArgumentCouldBeFinal: Parameter 'city' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
130;main;src/main/UIComponent.java;2;32;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
131;main;src/main/UIComponent.java;3;37;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
132;main;src/main/UIComponent.java;2;38;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
133;main;src/main/UIComponent.java;3;41;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
134;main;src/main/UIComponent.java;2;42;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
135;main;src/main/UIComponent.java;3;46;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
136;main;src/main/UIComponent.java;3;46;MethodArgumentCouldBeFinal: Parameter 'maxAnswer' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
137;main;src/main/UIComponent.java;3;46;MethodArgumentCouldBeFinal: Parameter 'minAnswer' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
138;main;src/main/UIComponent.java;2;48;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
139;main;src/main/UIComponent.java;3;49;LocalVariableCouldBeFinal: Local variable 'action' could be declared final;Code Style;LocalVariableCouldBeFinal
140;main;src/main/UIComponent.java;3;53;OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method;Code Style;OnlyOneReturn
141;main;src/main/UIComponent.java;2;55;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
142;main;src/main/UIComponent.java;3;60;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
143;main;src/main/UIComponent.java;3;60;MethodArgumentCouldBeFinal: Parameter 'textToPrint' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
144;main;src/main/UIComponent.java;2;61;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
145;main;src/main/UIComponent.java;3;65;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
146;main;src/main/UIComponent.java;2;66;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
147;main;src/main/UIComponent.java;3;67;LocalVariableCouldBeFinal: Local variable 'login' could be declared final;Code Style;LocalVariableCouldBeFinal
148;main;src/main/UIComponent.java;2;68;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
149;main;src/main/UIComponent.java;3;69;LocalVariableCouldBeFinal: Local variable 'password' could be declared final;Code Style;LocalVariableCouldBeFinal
150;main;src/main/UIComponent.java;3;73;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
151;main;src/main/UIComponent.java;2;74;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
152;main;src/main/UIComponent.java;3;75;LocalVariableCouldBeFinal: Local variable 'login' could be declared final;Code Style;LocalVariableCouldBeFinal
153;main;src/main/UIComponent.java;2;76;SystemPrintln: System.out.print is used;Best Practices;SystemPrintln
154;main;src/main/UIComponent.java;3;77;LocalVariableCouldBeFinal: Local variable 'password' could be declared final;Code Style;LocalVariableCouldBeFinal
155;main;src/main/UIComponent.java;3;81;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
156;main;src/main/UIComponent.java;3;81;MethodArgumentCouldBeFinal: Parameter 'maxAnswer' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
157;main;src/main/UIComponent.java;3;81;MethodArgumentCouldBeFinal: Parameter 'minAnswer' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
158;main;src/main/UIComponent.java;2;82;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
159;main;src/main/UIComponent.java;3;84;LocalVariableCouldBeFinal: Local variable 'action' could be declared final;Code Style;LocalVariableCouldBeFinal
160;main;src/main/UIComponent.java;3;88;OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method;Code Style;OnlyOneReturn
161;main;src/main/UIComponent.java;2;90;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
162;main;src/main/UIComponent.java;3;95;AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause;Design;AvoidUncheckedExceptionsInSignatures
163;main;src/main/UIComponent.java;3;95;MethodArgumentCouldBeFinal: Parameter 'input' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
164;main;src/main/User.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
165;main;src/main/User.java;4;3;ShortClassName: Avoid short class names like User;Code Style;ShortClassName
166;main;src/main/User.java;3;4;CommentRequired: Field comments are required;Documentation;CommentRequired
167;main;src/main/User.java;3;5;CommentRequired: Field comments are required;Documentation;CommentRequired
168;main;src/main/User.java;3;7;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
169;main;src/main/User.java;3;7;MethodArgumentCouldBeFinal: Parameter 'login' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
170;main;src/main/User.java;3;7;MethodArgumentCouldBeFinal: Parameter 'password' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
171;main;src/main/UserDatabase.java;3;10;CommentRequired: Class comments are required;Documentation;CommentRequired
172;main;src/main/UserDatabase.java;3;11;CommentRequired: Field comments are required;Documentation;CommentRequired
173;main;src/main/UserDatabase.java;3;11;LongVariable: Avoid excessively long variable names like DATABASE_DIRECTORY;Code Style;LongVariable
174;main;src/main/UserDatabase.java;3;12;CommentRequired: Field comments are required;Documentation;CommentRequired
175;main;src/main/UserDatabase.java;3;13;CommentRequired: Field comments are required;Documentation;CommentRequired
176;main;src/main/UserDatabase.java;3;15;CommentRequired: Field comments are required;Documentation;CommentRequired
177;main;src/main/UserDatabase.java;3;16;CommentRequired: Field comments are required;Documentation;CommentRequired
178;main;src/main/UserDatabase.java;3;17;CommentRequired: Field comments are required;Documentation;CommentRequired
179;main;src/main/UserDatabase.java;3;19;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
180;main;src/main/UserDatabase.java;1;24;ConstructorCallsOverridableMethod: Overridable method 'isUserCorrect' called during object construction (call stack: [createFirstAdmin, isUserCorrect]);Error Prone;ConstructorCallsOverridableMethod
181;main;src/main/UserDatabase.java;2;25;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
182;main;src/main/UserDatabase.java;2;27;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
183;main;src/main/UserDatabase.java;3;32;LocalVariableCouldBeFinal: Local variable 'sql' could be declared final;Code Style;LocalVariableCouldBeFinal
184;main;src/main/UserDatabase.java;2;37;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
185;main;src/main/UserDatabase.java;3;43;FinalizeDoesNotCallSuperFinalize: Last statement in finalize method should be a call to super.finalize();Error Prone;FinalizeDoesNotCallSuperFinalize
186;main;src/main/UserDatabase.java;2;47;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
187;main;src/main/UserDatabase.java;2;49;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
188;main;src/main/UserDatabase.java;3;53;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
189;main;src/main/UserDatabase.java;2;57;SystemPrintln: System.out.println is used;Best Practices;SystemPrintln
190;main;src/main/UserDatabase.java;3;62;LocalVariableCouldBeFinal: Local variable 'firstAdmin' could be declared final;Code Style;LocalVariableCouldBeFinal
191;main;src/main/UserDatabase.java;3;68;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
192;main;src/main/UserDatabase.java;3;68;MethodArgumentCouldBeFinal: Parameter 'toVerify' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
193;main;src/main/UserDatabase.java;3;69;LocalVariableCouldBeFinal: Local variable 'findedUser' could be declared final;Code Style;LocalVariableCouldBeFinal
194;main;src/main/UserDatabase.java;3;70;LocalVariableCouldBeFinal: Local variable 'isUserFound' could be declared final;Code Style;LocalVariableCouldBeFinal
